Output:

   Iterations        T(min)        T(max)       T(diff)        T(avg)          Time        FLOP/s
0             -9.803923e+00  8.980392e+01  1.327162e+01  2.179825e+00  3.136530e+05  0.000000e+00
5000          -6.513295e+00  1.832196e+01  3.580093e-03  6.974384e+00  8.560808e+08  7.008801e-01
10000         -6.581107e+00  1.784445e+01  1.117706e-03  4.106732e+00  1.529760e+09  7.844498e-01
15000         -6.652513e+00  1.776400e+01  5.249977e-04  2.369646e+00  2.203550e+09  8.168774e-01
20000         -6.692345e+00  1.772112e+01  2.677441e-04  1.452423e+00  2.877234e+09  8.341482e-01
25000         -6.713170e+00  1.769884e+01  1.382828e-04  9.765753e-01  3.550696e+09  8.449188e-01
30000         -6.723959e+00  1.768730e+01  7.152557e-05  7.303243e-01  4.225091e+09  8.520669e-01
35000         -6.729543e+00  1.768134e+01  3.701448e-05  6.029375e-01  4.899029e+09  8.573270e-01
40000         -6.732430e+00  1.767825e+01  1.913309e-05  5.370406e-01  5.572457e+09  8.613938e-01
45000         -6.733924e+00  1.767666e+01  9.894371e-06  5.029547e-01  6.246089e+09  8.645554e-01
50000         -6.734696e+00  1.767583e+01  5.125999e-06  4.853203e-01  6.919890e+09  8.670802e-01
55000         -6.735095e+00  1.767541e+01  2.682209e-06  4.762018e-01  7.593348e+09  8.691963e-01
60000         -6.735302e+00  1.767519e+01  1.370907e-06  4.714829e-01  8.266931e+09  8.709544e-01
65000         -6.735409e+00  1.767507e+01  7.152557e-07  4.690439e-01  8.941181e+09  8.723826e-01
70000         -6.735464e+00  1.767502e+01  4.768372e-07  4.677832e-01  9.616017e+09  8.735571e-01
75000         -6.735493e+00  1.767499e+01  4.768372e-07  4.671332e-01  1.029076e+10  8.745856e-01
80000         -6.735506e+00  1.767497e+01  4.768372e-07  4.667953e-01  1.096497e+10  8.755301e-01
85000         -6.735515e+00  1.767496e+01  2.384186e-07  4.666255e-01  1.163975e+10  8.763224e-01
90000         -6.735518e+00  1.767496e+01  1.192093e-07  4.665566e-01  1.231509e+10  8.769873e-01
95000         -6.735518e+00  1.767496e+01  1.192093e-07  4.665459e-01  1.298948e+10  8.776479e-01
