Output:

   Iterations        T(min)        T(max)       T(diff)        T(avg)          Time        FLOP/s
0             -9.803923e+00  8.980392e+01  1.724717e+01  7.372109e+00  3.099342e+06  0.000000e+00
5000          -7.708251e+00  8.976275e+01  3.425598e-03  1.228442e+01  6.891798e+09  8.706147e-01
10000         -7.715225e+00  8.869278e+01  1.604080e-03  1.389149e+01  1.363508e+10  8.800975e-01
15000         -7.718533e+00  8.649821e+01  1.058578e-03  1.510947e+01  2.038007e+10  8.832306e-01
20000         -7.720517e+00  8.410392e+01  7.915497e-04  1.612755e+01  2.712330e+10  8.848627e-01
25000         -7.721872e+00  8.188560e+01  6.313324e-04  1.701528e+01  3.386658e+10  8.858437e-01
30000         -7.722870e+00  7.992374e+01  5.245209e-04  1.780806e+01  4.060802e+10  8.865392e-01
35000         -7.723627e+00  7.820203e+01  4.482269e-04  1.852882e+01  4.739200e+10  8.862403e-01
40000         -7.724189e+00  7.668271e+01  3.890991e-04  1.918884e+01  5.415148e+10  8.864171e-01
45000         -7.724564e+00  7.533028e+01  3.433228e-04  1.979698e+01  6.089565e+10  8.867776e-01
50000         -7.724730e+00  7.411452e+01  3.070831e-04  2.036065e+01  6.763794e+10  8.870909e-01
