Output:

   Iterations        T(min)        T(max)       T(diff)        T(avg)          Time        FLOP/s
0             -9.803923e+00  8.980392e+01  1.410043e+01  8.948093e+00  5.760717e+06  0.000000e+00
5000          -9.686882e+00  8.980392e+01  2.174377e-03  9.757068e+00  1.363717e+10  8.799624e-01
10000         -9.663534e+00  8.980392e+01  1.205444e-03  9.428271e+00  2.706955e+10  8.866197e-01
15000         -9.656183e+00  8.980392e+01  9.307861e-04  9.152799e+00  4.050412e+10  8.888132e-01
20000         -9.653749e+00  8.980392e+01  7.400513e-04  8.938475e+00  5.393393e+10  8.899926e-01
25000         -9.652924e+00  8.980325e+01  5.989075e-04  8.767097e+00  6.736710e+10  8.906573e-01
30000         -9.652649e+00  8.979951e+01  4.882812e-04  8.632440e+00  8.083496e+10  8.907185e-01
35000         -9.652565e+00  8.979413e+01  4.043579e-04  8.518428e+00  9.426782e+10  8.910931e-01
40000         -9.652544e+00  8.978709e+01  3.356934e-04  8.420723e+00  1.076962e+11  8.914116e-01
45000         -9.652542e+00  8.977871e+01  2.822876e-04  8.335637e+00  1.211268e+11  8.916423e-01
50000         -9.652542e+00  8.976913e+01  2.365112e-04  8.262471e+00  1.345976e+11  8.915614e-01
